SpeciesAccepted,Lon,Lat,OrganismType
Aspasia principissa,-79.85,9.166667,Epiphyte
Brassavola cucullata,-63.226111,17.621111,Epiphyte
Broughtonia cubensis,-84.515278,21.936389,Epiphyte
Caladenia amonea,145.1772,-37.6716,Herbaceous perennial
Caladenia argocalla,138.707,-34.94,Herbaceous perennial
Caladenia clavigera,145.1772,-37.6716,Herbaceous perennial
Caladenia elegans,122,-25,Herbaceous perennial
Caladenia graniticola,122,-25,Herbaceous perennial
Caladenia macroclavia,137.6,-34.5,Herbaceous perennial
Caladenia oenochila,145.1772,-37.6716,Herbaceous perennial
Caladenia rosella,145.1772,-37.6716,Herbaceous perennial
Caladenia valida,122,-25,Herbaceous perennial
Cephalanthera longifolia,21.917222,58.472222,Herbaceous perennial
Cleistes bifaria,-82.277496,29.658701,Herbaceous perennial
Cleistes bifaria,-79.9328,39.279202,Herbaceous perennial
Cleistesiopsis bifaria,-82.283333,29.65,Herbaceous perennial
Cleistesiopsis bifaria,-79.932778,39.279167,Herbaceous perennial
Cleistesiopsis divaricata,-78.3,34.083333,Herbaceous perennial
Corallorhiza trifida,0.083333,42.633333,Herbaceous perennial
Cypripedium calceolus,0.120278,42.659444,Herbaceous perennial
Cypripedium calceolus,23.25,58.625,Herbaceous perennial
Cypripedium fasciculatum,-123.516667,42.333333,Herbaceous perennial
Cypripedium fasciculatum,-123.166667,42.25,Herbaceous perennial
Cypripedium fasciculatum,-122.45,42.333333,Herbaceous perennial
Cypripedium lentiginosum,104.633333,23.116667,Herbaceous perennial
Cypripedium parviflorum,-88.08,42.3833,Herbaceous perennial
Dactylorhiza lapponica,9.0833,63.05,Herbaceous perennial
Dendrophylax lindenii,-84.515278,21.936389,Epiphyte
Epipactis atrorubens,29.21667,66.37417,Herbaceous perennial
Erycina crista-galli,-92.166667,14.983333,Epiphyte
Erycina crista-galli,-92.105833,15.03,Epiphyte
Guarianthe aurantiaca,-92.081111,15.064444,Epiphyte
Herminium monorchis,0.583333,51.883333,Herbaceous perennial
Himantoglossum hircinum,11.593056,50.946111,Herbaceous perennial
Jacquiniella leucomelana,-96.95,19.516667,Epiphyte
Lepanthes acuminata,-92.165833,15.091944,Epiphyte
Lepanthes caritensis,-66.072778,18.101667,Epiphyte
Lepanthes caritensis,-66.0275,18.094167,Epiphyte
Lepanthes eltoroensis,-65.783333,18.3,Epiphyte
Lepanthes rubripetala,-66.0797,18.0941,Epiphyte
Lepanthes rupestris,-65.825,18.319167,Epiphyte
Lycaste aromatica,-96.95,19.516667,Epiphyte
Neotinea ustulata,23.1811,58.5561,Herbaceous perennial
Neotinea ustulata,23.181111,58.556111,Herbaceous perennial
Neotinea ustulata,23.207222,58.628333,Herbaceous perennial
Neotinea ustulata,23.320278,58.646389,Herbaceous perennial
Neotinea ustulata,23.568056,58.614722,Herbaceous perennial
Neotinea ustulata,25.722778,59.255278,Herbaceous perennial
Oeceoclades maculata,-92.834083,15.566056,Herbaceous perennial
Oeceoclades maculata,-92.306389,14.894806,Herbaceous perennial
Oeceoclades maculata,-92.285139,14.989194,Herbaceous perennial
Oeceoclades maculata,-92.185778,14.794667,Herbaceous perennial
Oncidium poikilostalix,-92.165833,15.091944,Epiphyte
Ophrys sphegodes,-0.050833,50.844444,Herbaceous perennial
Orchis purpurea,5.75,50.75,Herbaceous perennial
Platanthera hookeri,-75.85,45.483333,Herbaceous perennial
Serapias cordigera,16.098611,39.265556,Herbaceous perennial
Serapias cordigera,16.115833,39.221944,Herbaceous perennial
Serapias cordigera,16.230833,39.363333,Herbaceous perennial
Serapias cordigera,16.232778,39.343056,Herbaceous perennial
Serapias cordigera,16.233611,39.346944,Herbaceous perennial
Serapias cordigera,16.366111,39.856667,Herbaceous perennial
Spathoglottis plicata,-66.684444,18.349444,Herbaceous perennial
Telipogon helleri,-92.165833,15.091944,Epiphyte
Tolumnia variegata,-66.599444,18.451389,Epiphyte
