SpeciesAccepted,YearPublication,OrganismType,StudyStart,StudyEnd,n_populations
Lepanthes caritensis,2018,Epiphyte,2010,2012,18
Epipactis atrorubens,2017,Herbaceous perennial,2000,2015,8
Lepanthes rubripetala,2010,Epiphyte,1994,2007,8
Lepanthes rupestris,2001,Herbaceous perennial,1994,1996,7
Lepanthes rupestris,2014,Herbaceous perennial,1993,1996,7
Orchis purpurea,2010,Herbaceous perennial,2002,2008,7
Lepanthes rubripetala,2001,Epiphyte,1994,1996,6
Lepanthes rubripetala,2015,Epiphyte,1994,1996,6
Neotinea ustulata,2007,Herbaceous perennial,1993,2005,6
Serapias cordigera,2014,Herbaceous perennial,1999,2012,6
Cephalanthera longifolia,2012,Herbaceous perennial,2002,2007,4
Cleistesiopsis bifaria,1991,Herbaceous perennial,1983,1990,4
Cypripedium calceolus,2005,Herbaceous perennial,1991,2000,4
Cypripedium fasciculatum,2011,Herbaceous perennial,1999,2007,4
Oeceoclades maculata,2019,Herbaceous perennial,2014,2016,4
Platanthera hookeri,2007,Herbaceous perennial,1990,2005,4
Brassavola cucullata,2020,Epiphyte,2009,2014,3
Cypripedium calceolus,2012,Herbaceous perennial,2002,2007,3
Dactylorhiza lapponica,2010,Herbaceous perennial,1990,2006,3
Lepanthes eltoroensis,2001,Epiphyte,1994,1996,3
Cleistes bifaria,2006,Herbaceous perennial,1986,1996,2
Cypripedium calceolus,2010,Herbaceous perennial,1994,2002,2
Erycina crista-galli,2007,Epiphyte,2004,2005,2
Jacquiniella leucomelana,2009,Epiphyte,2002,2005,2
Jacquiniella teretifolia,2009,Epiphyte,2002,2005,2
Lepanthes caritensis,1997,Epiphyte,1994,1996,2
Lycaste aromatica,2009,Epiphyte,2002,2005,2
Aspasia principissa,2006,Epiphyte,1997,2004,1
Broughtonia cubensis,2015,Epiphyte,2006,2010,1
Caladenia amonea,2009,Epiphyte,1996,2007,1
Caladenia argocalla,2009,Epiphyte,1996,2007,1
Caladenia clavigera,2009,Epiphyte,1996,2007,1
Caladenia elegans,2009,Epiphyte,1996,2007,1
Caladenia graniticola,2009,Epiphyte,1996,2007,1
Caladenia macroclavia,2009,Epiphyte,1996,2007,1
Caladenia oenochila,2009,Epiphyte,1996,2007,1
Caladenia rosella,2009,Epiphyte,1996,2007,1
Caladenia valida,2009,Epiphyte,1996,2007,1
Cleistesiopsis divaricata,1991,Herbaceous perennial,1983,1990,1
Corallorhiza trifida,2009,Herbaceous perennial,2001,2004,1
Cypripedium parviflorum,2014,Herbaceous perennial,1994,2012,1
Dactylorhiza lapponica,2013,Herbaceous perennial,1981,2010,1
Dendrophylax lindenii,2015,Epiphyte,2006,2010,1
Epipactis atrorubens,2011,Herbaceous perennial,2000,2008,1
Guarianthe aurantiaca,2009,Epiphyte,2004,2006,1
Herminium monorchis,1998,Herbaceous perennial,1966,1995,1
Himantoglossum hircinum,2006,Herbaceous perennial,1976,2001,1
Lepanthes acuminata,2018,Epiphyte,2013,2015,1
Oncidium poikilostalix,2017,Epiphyte,2013,2015,1
Oncidium poikilostalix,2018,Epiphyte,2013,2015,1
Ophrys sphegodes,1991,Herbaceous perennial,1983,1990,1
Spathoglottis plicata,2017,Herbaceous perennial,2009,2011,1
Telipogon helleri,2018,Epiphyte,2013,2015,1
Tolumnia variegata,1993,Epiphyte,1988,1990,1
